EventID,Coincidence,HitTop,HitMiddle,HitBottom,Decay,DecayTime_ns
0,TRIPLE,1,1,1,False,-1
1,SINGLE,0,0,1,False,-1
2,TRIPLE,1,1,1,False,-1
3,DOUBLE,1,1,0,False,-1
4,NONE,0,0,0,False,-1
5,SINGLE,0,0,1,False,-1
6,NONE,0,0,0,False,-1
7,NONE,0,0,0,False,-1
8,NONE,0,0,0,False,-1
9,NONE,0,0,0,False,-1
10,NONE,0,0,0,False,-1
11,NONE,0,0,0,False,-1
12,NONE,0,0,0,False,-1
13,NONE,0,0,0,False,-1
14,NONE,0,0,0,False,-1
15,NONE,0,0,0,False,-1
16,NONE,0,0,0,False,-1
17,DOUBLE,1,1,0,False,-1
18,NONE,0,0,0,False,-1
19,SINGLE,0,0,1,False,-1
20,NONE,0,0,0,False,-1
21,NONE,0,0,0,False,-1
22,NONE,0,0,0,False,-1
23,NONE,0,0,0,False,-1
24,DOUBLE,1,1,0,False,-1
25,NONE,0,0,0,False,-1
26,NONE,0,0,0,False,-1
27,NONE,0,0,0,False,-1
28,NONE,0,0,0,False,-1
29,DOUBLE,1,1,0,False,-1
30,NONE,0,0,0,False,-1
31,NONE,0,0,0,False,-1
32,NONE,0,0,0,False,-1
33,NONE,0,0,0,False,-1
34,NONE,0,0,0,False,-1
35,NONE,0,0,0,False,-1
36,NONE,0,0,0,False,-1
37,DOUBLE,1,1,0,False,-1
38,NONE,0,0,0,False,-1
39,NONE,0,0,0,False,-1
40,SINGLE,1,0,0,False,-1
41,NONE,0,0,0,False,-1
42,TRIPLE,1,1,1,False,-1
43,NONE,0,0,0,False,-1
44,NONE,0,0,0,False,-1
45,NONE,0,0,0,False,-1
46,SINGLE,0,0,1,False,-1
47,NONE,0,0,0,False,-1
48,NONE,0,0,0,False,-1
49,TRIPLE,1,1,1,False,-1
50,NONE,0,0,0,False,-1
51,NONE,0,0,0,False,-1
52,NONE,0,0,0,False,-1
53,TRIPLE,1,1,1,False,-1
54,NONE,0,0,0,False,-1
55,DOUBLE,1,1,0,False,-1
56,NONE,0,0,0,False,-1
57,NONE,0,0,0,False,-1
58,NONE,0,0,0,False,-1
59,NONE,0,0,0,False,-1
60,NONE,0,0,0,False,-1
61,DOUBLE,1,0,1,False,-1
62,NONE,0,0,0,False,-1
63,NONE,0,0,0,False,-1
64,SINGLE,0,0,1,False,-1
65,NONE,0,0,0,False,-1
66,NONE,0,0,0,False,-1
67,NONE,0,0,0,False,-1
68,NONE,0,0,0,False,-1
69,NONE,0,0,0,False,-1
70,NONE,0,0,0,False,-1
71,SINGLE,0,0,1,False,-1
72,NONE,0,0,0,False,-1
73,NONE,0,0,0,False,-1
74,NONE,0,0,0,False,-1
75,NONE,0,0,0,False,-1
76,NONE,0,0,0,False,-1
77,DOUBLE,1,1,0,False,-1
78,SINGLE,1,0,0,False,-1
79,SINGLE,0,1,0,False,-1
80,NONE,0,0,0,False,-1
